,DATE,TEMPERATURE,MONTH
0,1901,-0.39375,1
1,1901,0.16875,2
2,1901,7.13125,3
3,1901,10.65,4
4,1901,14.5125,5
5,1901,18.21875,6
6,1901,19.89375,7
7,1901,19.6625,8
8,1901,16.85,9
9,1901,12.38125,10
10,1901,7.70625,11
11,1901,2.45625,12
12,1902,1.46875,1
13,1902,1.825,2
14,1902,6.5875,3
15,1902,10.74375,4
16,1902,15.83125,5
17,1902,19.0,6
18,1902,19.70625,7
19,1902,19.475,8
20,1902,16.70625,9
21,1902,12.05625,10
22,1902,6.4,11
23,1902,1.475,12
24,1903,-1.05625,1
25,1903,0.28125,2
26,1903,3.08125,3
27,1903,8.9125,4
28,1903,14.0625,5
29,1903,19.1875,6
30,1903,19.4625,7
31,1903,19.0125,8
32,1903,17.4,9
33,1903,12.6875,10
34,1903,6.05625,11
35,1903,1.50625,12
