Data section,380,,
Data section,1.2,1.1,1
Data section,1.1,1.1,1
Data section,1.1,1,0.9
Data section,1.2,1.1,1.1
Data section,410,,
Data section,1.8,1.6,1.4
Data section,1.6,1.4,1.4
Data section,1.5,1.4,1.3
Data section,1.5,1.4,1.3
Data section,439,,
Data section,2.9,2.7,2.3
Data section,2.6,2.3,2.2
Data section,2.3,2.1,2.1
Data section,2.3,2.2,2.2
Data section,470,,
Data section,4.1,3.8,3.4
Data section,3.6,3.2,3.1
Data section,3.2,3.1,3
Data section,3.1,3,3
Data section,500,,
Data section,5.5,4.9,4.4
Data section,4.8,4.2,3.9
Data section,4.1,3.9,3.7
Data section,3.8,3.8,3.7
Data section,531,,
Data section,6,5.5,4.8
Data section,5.4,4.7,4.4
Data section,4.7,4.5,4.3
Data section,4.5,4.4,4.2
Data section,561,,
Data section,4.8,4.6,4.3
Data section,4.4,4.2,4.2
Data section,4.2,4.2,4.2
Data section,4.3,4.2,4.2
Data section,592,,
Data section,4.2,4,3.8
Data section,3.9,3.8,3.7
Data section,3.7,3.7,3.7
Data section,3.8,3.8,3.8
Data section,623,,
Data section,4.1,3.7,3.4
Data section,3.7,3.4,3.3
Data section,3.3,3.3,3.2
Data section,3.3,3.3,3.3
Data section,653,,
Data section,2.8,2.7,2.5
Data section,2.5,2.4,2.3
Data section,2.3,2.2,2.2
Data section,2.2,2.2,2.2
Data section,684,,
Data section,1.6,1.5,1.5
Data section,1.5,1.5,1.5
Data section,1.5,1.4,1.3
Data section,1.6,1.5,1.5
Data section,714,,
Data section,1.1,1.1,1
Data section,1.1,1.1,1.1
Data section,1.1,1,0.9
Data section,1.2,1.1,1.1
Data section,745,,
Data section,1.3,1.1,1.1
Data section,1.2,1.1,1
Data section,1.2,1,0.9
Data section,1.3,1.1,1.1
Data section,775,,
Data section,1.8,1.7,1.5
Data section,1.6,1.4,1.3
Data section,1.5,1.4,1.2
Data section,1.5,1.4,1.4
Data section,804,,
Data section,2.9,2.6,2.3
Data section,2.5,2.2,2.1
Data section,2.2,2.1,2
Data section,2.2,2.1,2.1
Data section,835,,
Data section,4.1,3.8,3.4
Data section,3.6,3.2,3
Data section,3.1,3,2.9
Data section,3,2.9,2.9
Data section,865,,
Data section,5.6,5.1,4.5
Data section,5,4.4,4.1
Data section,4.3,4.1,3.9
Data section,3.9,3.9,3.8
Data section,896,,
Data section,6.1,5.6,5
Data section,5.6,4.9,4.6
Data section,5,4.7,4.6
Data section,4.7,4.6,4.5
Data section,926,,
Data section,4.8,4.5,4.3
Data section,4.4,4.2,4.2
Data section,4.1,4.1,4.2
Data section,4.2,4.2,4.2
Data section,957,,
Data section,4.2,4,3.8
Data section,4,3.8,3.7
Data section,3.7,3.8,3.8
Data section,3.9,3.8,3.8
Data section,988,,
Data section,4,3.7,3.4
Data section,3.7,3.4,3.3
Data section,3.3,3.3,3.2
Data section,3.3,3.3,3.3
Data section,1018,,
Data section,2.8,2.6,2.4
Data section,2.5,2.4,2.3
Data section,2.3,2.2,2.2
Data section,2.3,2.2,2.2
Data section,1049,,
Data section,1.5,1.5,1.4
Data section,1.5,1.4,1.4
Data section,1.4,1.3,1.3
Data section,1.5,1.4,1.4
Data section,1079,,
Data section,1.1,1,1
Data section,1,1,1.1
Data section,1.1,1,0.9
Data section,1.2,1.1,1.1
Data section,1110,,
Data section,1.2,1,1
Data section,1.1,1,0.9
Data section,1,0.9,0.8
Data section,1.2,1,1
Data section,1140,,
Data section,1.8,1.6,1.4
Data section,1.6,1.4,1.3
Data section,1.4,1.3,1.2
Data section,1.5,1.3,1.3
Data section,1169,,
Data section,2.6,2.3,2.1
Data section,2.2,1.9,1.9
Data section,1.9,1.8,1.7
Data section,2,1.9,1.9
Data section,1200,,
Data section,3.9,3.6,3.2
Data section,3.4,3,2.9
Data section,3,2.9,2.7
Data section,2.9,2.8,2.9
Data section,1230,,
Data section,5.4,4.9,4.4
Data section,4.8,4.1,3.9
Data section,4.1,3.8,3.7
Data section,3.8,3.7,3.6
Data section,1261,,
Data section,6.2,5.6,5
Data section,5.6,4.9,4.6
Data section,4.9,4.7,4.5
Data section,4.7,4.5,4.4
Data section,1291,,
Data section,4.7,4.5,4.2
Data section,4.4,4.1,4.1
Data section,4.1,4.1,4.1
Data section,4.1,4.1,4.1
Data section,1322,,
Data section,4.1,3.9,3.7
Data section,3.9,3.7,3.6
Data section,3.6,3.7,3.7
Data section,3.8,3.8,3.7
Data section,1353,,
Data section,4.1,3.8,3.5
Data section,3.7,3.4,3.3
Data section,3.4,3.3,3.2
Data section,3.3,3.3,3.3
Data section,1383,,
Data section,2.8,2.7,2.5
Data section,2.6,2.4,2.3
Data section,2.4,2.3,2.2
Data section,2.3,2.3,2.2
Data section,1414,,
Data section,1.5,1.5,1.4
Data section,1.5,1.4,1.4
Data section,1.4,1.3,1.3
Data section,1.5,1.4,1.4
Data section,1444,,
Data section,1.1,1,1
Data section,1.1,1.1,1
Data section,1.1,1,0.9
Data section,1.2,1.1,1.1
Data section,1475,,
Data section,1.1,1,1
Data section,1,1,0.9
Data section,1,0.9,0.8
Data section,1.1,1,1
Data section,1505,,
Data section,1.9,1.7,1.5
Data section,1.7,1.5,1.4
Data section,1.5,1.4,1.3
Data section,1.6,1.4,1.4
Data section,1535,,
Data section,2.8,2.6,2.3
Data section,2.5,2.2,2.1
Data section,2.2,2.1,2
Data section,2.2,2.1,2.2
Data section,1566,,
Data section,4.2,3.9,3.5
Data section,3.6,3.2,3.1
Data section,3.1,3,2.9
Data section,3,2.9,2.9
Data section,1596,,
Data section,5.5,4.9,4.4
Data section,4.9,4.2,3.9
Data section,4.2,3.9,3.7
Data section,3.8,3.8,3.7
Data section,1627,,
Data section,6.2,5.7,5
Data section,5.6,4.9,4.6
Data section,5,4.7,4.5
Data section,4.7,4.6,4.5
Data section,1657,,
Data section,4.8,4.6,4.3
Data section,4.5,4.3,4.2
Data section,4.3,4.2,4.3
Data section,4.4,4.3,4.3
Data section,1688,,
Data section,4.2,4,3.8
Data section,4,3.8,3.7
Data section,3.7,3.8,3.8
Data section,3.9,3.8,3.8
Data section,1719,,
Data section,4,3.7,3.4
Data section,3.6,3.3,3.3
Data section,3.3,3.2,3.1
Data section,3.3,3.2,3.2
Data section,1749,,
Data section,2.7,2.6,2.4
Data section,2.5,2.3,2.2
Data section,2.3,2.2,2.1
Data section,2.2,2.2,2.1
