,DATE,AVG MAX TEMPERATURE
0,1,5.4916666665
1,2,6.124999999999999
2,3,13.283333330749999
3,4,17.341666664999998
4,5,21.866666665
5,6,25.624999997499998
6,7,25.866666667500002
7,8,25.416666667499996
8,9,23.85
9,10,20.116666665
10,11,15.225000000749999
11,12,8.750000000750001
12,13,7.35833333225
13,14,7.7583333324999995
14,15,12.69999999925
15,16,17.4166666675
16,17,23.2166666675
17,18,26.4833333325
18,19,25.7
19,20,25.249999997499998
20,21,23.7166666675
21,22,19.8416666675
22,23,13.91666666825
23,24,7.76666666575
24,25,4.75833333425
25,26,6.24999999925
26,27,9.141666666499999
27,28,15.5666666675
28,29,21.4000000025
29,30,26.6500000025
30,31,25.433333335
31,32,24.799999999999997
32,33,24.4083333325
33,34,20.5
34,35,13.54999999925
35,36,7.73333333325
36,37,3.77499999925
37,38,7.90833333425
38,39,11.933333335
39,40,17.83333333
40,41,22.191666665
41,42,27.025000000000002
42,43,25.866666665
43,44,25.1833333325
44,45,23.291666667500003
45,46,18.883333335000003
46,47,14.35
47,48,8.9083333335
48,49,4.108333332499999
49,50,2.624999999
50,51,8.0
51,52,15.774999999999999
52,53,23.2
53,54,26.625
54,55,26.2416666675
55,56,25.4999999975
56,57,23.96666667
57,58,20.6666666675
58,59,14.96666666825
59,60,8.033333332749999
60,61,3.9833333342500006
61,62,5.06666666675
62,63,10.6666666675
63,64,16.60000000075
64,65,23.650000002499997
65,66,26.4166666675
66,67,26.308333332500002
67,68,25.716666664999998
68,69,23.349999999999998
69,70,20.4916666675
70,71,15.1666666675
71,72,9.983333332499999
72,73,7.658333333500001
73,74,5.291666665749999
74,75,9.500000000750001
75,76,16.825000000750002
76,77,20.666666665
77,78,24.8416666675
78,79,26.1583333325
79,80,24.858333332500003
80,81,23.591666665
81,82,19.383333332499998
82,83,14.241666669249998
83,84,7.7250000000000005
84,85,6.791666665749999
85,86,6.7250000000000005
86,87,11.39166666675
87,88,18.1333333325
88,89,22.066666667499998
89,90,26.5500000025
90,91,26.3666666675
91,92,24.4
92,93,23.008333335000003
93,94,18.6166666675
94,95,14.0749999975
95,96,8.050000000999999
96,97,4.066666667500001
97,98,5.3833333342500005
98,99,12.25
99,100,17.9916666675
100,101,22.3583333325
101,102,26.233333335000005
102,103,25.166666665
103,104,25.416666667500003
104,105,22.6999999975
105,106,19.6749999975
106,107,15.93333333175
107,108,8.59166666575
108,109,5.9083333335
109,110,7.233333333999999
110,111,10.850000000000001
111,112,16.41666666575
112,113,23.2083333325
113,114,26.1833333325
114,115,25.8416666675
115,116,25.2083333325
116,117,23.774999997499997
117,118,19.4333333325
118,119,13.341666666750001
119,120,5.85
120,121,5.95833333425
121,122,6.9749999997500005
122,123,10.149999999999999
123,124,17.066666667499998
124,125,23.1499999975
125,126,26.916666665
126,127,26.275000000000002
127,128,25.408333335000002
128,129,24.075000000000003
129,130,19.791666665
130,131,11.89166666675
131,132,7.3583333325
132,133,6.141666666
133,134,8.30833333425
134,135,11.283333335
135,136,18.183333332500002
136,137,22.4333333325
137,138,26.8166666675
138,139,26.6833333325
139,140,24.7583333325
140,141,22.191666665
141,142,20.233333334999998
142,143,13.36666666575
143,144,8.1
144,145,7.0666666665
145,146,6.37499999925
146,147,9.34166666675
147,148,17.325000000000003
148,149,22.208333335
149,150,25.649999997500004
150,151,25.908333335000002
151,152,24.8416666675
152,153,23.150000000000002
153,154,19.8999999975
154,155,13.14166666575
155,156,8.058333334
156,157,8.350000001
157,158,6.933333333249999
158,159,11.4916666675
159,160,17.683333335
160,161,22.6
161,162,27.616666667500002
162,163,26.725
163,164,25.091666664999998
164,165,24.583333335
165,166,18.45
166,167,13.20833333425
167,168,6.97500000025
168,169,5.783333333500001
169,170,5.4833333325
170,171,13.283333331749999
171,172,18.54166667
172,173,25.5333333325
173,174,26.833333335
174,175,25.858333332500003
175,176,25.816666665
176,177,25.191666667499998
177,178,21.4166666675
178,179,15.383333330749998
179,180,9.116666666750001
180,181,6.99166666725
181,182,5.691666667250001
182,183,14.5833333325
183,184,19.458333335
184,185,22.1916666675
185,186,25.900000000000002
186,187,26.0999999975
187,188,25.5999999975
188,189,23.6416666675
189,190,20.183333332500002
190,191,12.183333332499998
191,192,7.458333334249999
192,193,7.08333333425
193,194,8.95
194,195,12.66666666825
195,196,16.52499999825
196,197,21.566666667499998
197,198,25.783333332499996
198,199,25.3583333325
199,200,24.633333334999996
200,201,23.0083333325
201,202,18.7999999975
202,203,12.749999998249999
203,204,8.199999999
204,205,4.658333333250001
205,206,7.1833333325
206,207,11.22500000075
207,208,15.73333333575
208,209,24.325000000000003
209,210,26.525
210,211,26.4583333325
211,212,25.8499999975
212,213,23.241666665
213,214,19.683333332500002
214,215,12.774999997500002
215,216,6.13333333325
216,217,4.10000000075
217,218,4.799999999250001
218,219,11.183333335
219,220,17.066666667499998
220,221,21.925
221,222,27.0749999975
222,223,25.9916666675
223,224,24.733333335
224,225,22.3166666675
225,226,19.316666665
226,227,13.26666666575
227,228,7.549999999250001
228,229,6.1583333335
229,230,4.8416666665
230,231,10.808333331750001
231,232,15.858333334250002
232,233,19.041666665
233,234,24.766666667499997
234,235,25.7083333325
235,236,24.5083333325
236,237,23.608333332500003
237,238,20.2666666675
238,239,13.75833333325
239,240,7.049999999250001
240,241,6.025
241,242,5.51666666575
242,243,13.27500000075
243,244,19.5083333325
244,245,23.391666665
245,246,25.6500000025
246,247,26.075000000000003
247,248,24.325
248,249,23.050000000000004
249,250,18.7333333325
250,251,13.83333333575
251,252,9.216666666750001
