DATE,AVG MAX TEMPERATURE
1,12.4
1,6.833333333
1,3.9
1,-1.166666667
2,13.4
2,7.433333333
2,4.4
2,-0.733333333
3,20.43333333
3,14.43333333
3,11.53333333
3,6.733333333
4,25.1
4,18.53333333
4,15.5
4,10.23333333
5,30.23333333
5,23.23333333
5,19.8
5,14.2
6,33.53333333
6,27.03333333
6,23.7
6,18.23333333
7,31.66666667
7,26.73333333
7,24.56666667
7,20.5
8,30.6
8,26.2
8,24.26666667
8,20.6
9,29.96666667
9,24.8
9,22.4
9,18.23333333
10,27.66666667
10,21.43333333
10,18.33333333
10,13.03333333
11,21.86666667
11,16.5
11,13.8
11,8.733333333
12,15.26666667
12,10.1
12,7.2
12,2.433333333
13,14.33333333
13,8.733333333
13,5.733333333
13,0.633333333
14,15.33333333
14,9.2
14,6
14,0.5
15,20.5
15,14.1
15,10.73333333
15,5.466666667
16,25.56666667
16,18.7
16,15.4
16,10
17,31.46666667
17,24.53333333
17,21.2
17,15.66666667
18,33.63333333
18,27.7
18,24.9
18,19.7
19,31.43333333
19,26.6
19,24.3
19,20.46666667
20,30.4
20,26.03333333
20,24.13333333
20,20.43333333
21,29.76666667
21,24.66666667
21,22.33333333
21,18.1
22,26.7
22,21
22,18.3
22,13.36666667
23,20.66666667
23,15.26666667
23,12.4
23,7.333333333
24,14.13333333
24,9.133333333
24,6.266666667
24,1.533333333
25,12.06666667
25,6.2
25,2.966666667
25,-2.2
26,13.83333333
26,7.666666667
26,4.5
26,-1
27,17.13333333
27,10.56666667
27,7.133333333
27,1.733333333
28,23.5
28,16.76666667
28,13.6
28,8.4
29,29.86666667
29,22.76666667
29,19.26666667
29,13.7
30,34.26666667
30,28
30,24.86666667
30,19.46666667
31,31.26666667
31,26.4
31,23.96666667
31,20.1
32,29.9
32,25.56666667
32,23.73333333
32,20
33,30.53333333
33,25.4
33,22.96666667
33,18.73333333
34,27.33333333
34,21.7
34,18.96666667
34,14
35,20.26666667
35,14.93333333
35,12.03333333
35,6.966666667
36,14.5
36,9.133333333
36,6.133333333
36,1.166666667
37,11.43333333
37,5.166666667
37,1.833333333
37,-3.333333333
38,15.26666667
38,9.266666667
38,6.266666667
38,0.833333333
39,19.2
39,13.16666667
39,10.16666667
39,5.2
40,25.93333333
40,19.13333333
40,15.83333333
40,10.43333333
41,30.36666667
41,23.53333333
41,20.13333333
41,14.73333333
42,34.43333333
42,28.26666667
42,25.33333333
42,20.06666667
43,31.33333333
43,26.63333333
43,24.7
43,20.8
44,30.3
44,25.93333333
44,24.06666667
44,20.43333333
45,29.46666667
45,24.3
45,21.8
45,17.6
46,26.16666667
46,20.16666667
46,17.16666667
46,12.03333333
47,20.76666667
47,15.63333333
47,13
47,8
48,15.3
48,10.2
48,7.466666667
48,2.666666667
49,11.13333333
49,5.466666667
49,2.433333333
49,-2.6
50,10.13333333
50,4.033333333
50,0.8
50,-4.466666667
51,15.7
51,9.333333333
51,6.1
51,0.866666667
52,23.5
52,16.96666667
52,14.03333333
52,8.6
53,31.7
53,24.56666667
53,21.1
53,15.43333333
54,34.1
54,27.9
54,24.86666667
54,19.63333333
55,31.76666667
55,27.06666667
55,25.03333333
55,21.1
56,31.03333333
56,26.43333333
56,24.2
56,20.33333333
57,30.06666667
57,24.96666667
57,22.46666667
57,18.36666667
58,27.4
58,21.8
58,19.16666667
58,14.3
59,21.76666667
59,16.2
59,13.36666667
59,8.533333333
60,14.73333333
60,9.466666667
60,6.566666667
60,1.366666667
61,11.06666667
61,5.466666667
61,2.366666667
61,-2.966666667
62,12.4
62,6.366666667
62,3.366666667
62,-1.866666667
63,17.8
63,11.86666667
63,9.033333333
63,3.966666667
64,24.66666667
64,17.96666667
64,14.63333333
64,9.133333333
65,32.16666667
65,25
65,21.46666667
65,15.96666667
66,33.56666667
