DATE,AVG MAX TEMPERATURE
30-04-1922,18.175
31-05-1922,22.175
30-06-1922,25.85
31-07-1922,26.10833333
31-08-1922,25.24166667
30-09-1922,23.19166667
31-10-1922,18.93333333
30-11-1922,13.73333333
31-12-1922,8.624999999
31-01-1923,5.924999999
28-02-1923,6.350000001
31-03-1923,12.50833333
30-04-1923,18.225
31-05-1923,21.59166667
30-06-1923,26.9
31-07-1923,24.90833333
31-08-1923,24.575
30-09-1923,22.43333333
31-10-1923,18.60833333
30-11-1923,12.96666667
31-12-1923,7.241666667
31-01-1924,5.216666666
29-02-1924,7.083333334
31-03-1924,12.88333333
30-04-1924,17.95
31-05-1924,19
30-06-1924,26.55833333
31-07-1924,26.61666667
31-08-1924,25.05833333
30-09-1924,22.43333333
31-10-1924,19.59166667
30-11-1924,13.15
31-12-1924,8.408333333
31-01-1925,4.333333333
28-02-1925,4.558333334
31-03-1925,13.01666667
30-04-1925,19.16666667
31-05-1925,22.30833333
30-06-1925,25.625
31-07-1925,25.73333334
31-08-1925,24.675
30-09-1925,23.55
31-10-1925,20.05
30-11-1925,12.55
31-12-1925,8.250000001
31-01-1926,6.7
28-02-1926,8.566666665
31-03-1926,11.39166667
30-04-1926,15.16666667
31-05-1926,20.75833333
30-06-1926,26.325
31-07-1926,26.33333333
31-08-1926,25.59166667
30-09-1926,23.80833333
31-10-1926,19.24166667
30-11-1926,11
31-12-1926,8.108333332
31-01-1927,4.291666667
28-02-1927,5.349999999
31-03-1927,10.5
30-04-1927,17.30833334
31-05-1927,21.48333333
30-06-1927,25.80833334
31-07-1927,26.21666667
31-08-1927,25.05
30-09-1927,23.325
31-10-1927,20.7
30-11-1927,13.75833333
31-12-1927,8.866666666
31-01-1928,4.808333332
29-02-1928,7.041666666
31-03-1928,11
30-04-1928,17.55
31-05-1928,23.60833333
30-06-1928,26.40833333
31-07-1928,25.68333333
31-08-1928,24.73333333
30-09-1928,22.63333333
31-10-1928,20.325
30-11-1928,14.34166667
31-12-1928,7.383333333
31-01-1929,4.15
28-02-1929,4.824999999
31-03-1929,13.88333333
30-04-1929,19.23333334
31-05-1929,22.55
30-06-1929,26.20833334
31-07-1929,25.43333334
31-08-1929,24.825
30-09-1929,24.325
31-10-1929,18.925
30-11-1929,13.875
31-12-1929,4.708333333
31-01-1930,2.916666668
28-02-1930,5.25
31-03-1930,12.28333333
30-04-1930,16.35833333
31-05-1930,22.325
30-06-1930,25.70833333
31-07-1930,25.875
31-08-1930,25.21666667
30-09-1930,22.9
31-10-1930,19.68333334
30-11-1930,14.29166667
31-12-1930,7.791666666
31-01-1931,6.691666667
28-02-1931,4.124999999
31-03-1931,12.43333333
30-04-1931,19.28333334
31-05-1931,21.325
30-06-1931,25.175
31-07-1931,24.40833334
31-08-1931,25.74166667
30-09-1931,24.01666667
31-10-1931,20.79166667
30-11-1931,12.88333333
31-12-1931,8.025000001
31-01-1932,6.608333332
29-02-1932,6.174999999
31-03-1932,13.11666667
30-04-1932,19.26666667
31-05-1932,21.2
30-06-1932,26.48333333
31-07-1932,26.80833333
31-08-1932,24.51666667
30-09-1932,24.4
31-10-1932,19.36666667
30-11-1932,13.63333333
31-12-1932,7.3
31-01-1933,3.133333332
28-02-1933,7.708333333
31-03-1933,11.74166667
30-04-1933,15.925
31-05-1933,22.525
30-06-1933,26.74166667
31-07-1933,26.63333334
31-08-1933,23.93333333
30-09-1933,22.75
31-10-1933,19.95833333
30-11-1933,14.33333333
31-12-1933,9.141666665
31-01-1934,3.166666668
28-02-1934,9.716666667
31-03-1934,11.875
30-04-1934,17.7
31-05-1934,20.03333333
30-06-1934,25.89166667
31-07-1934,25.75
31-08-1934,25.15
30-09-1934,24.09166667
31-10-1934,19.33333334
30-11-1934,13.58333333
31-12-1934,9.241666667
31-01-1935,3.500000001
28-02-1935,7.674999999
31-03-1935,12.76666667
30-04-1935,14.35
31-05-1935,22.1
30-06-1935,25.74166667
31-07-1935,25.89166667
31-08-1935,24.775
30-09-1935,23.7
31-10-1935,19.25
30-11-1935,13.84166667
31-12-1935,8.091666668
31-01-1936,4.708333334
29-02-1936,8.408333334
31-03-1936,10.725
30-04-1936,17.09166667
31-05-1936,25.48333333
30-06-1936,26.05
31-07-1936,25.675
31-08-1936,25.10833333
30-09-1936,24.35833333
31-10-1936,20.7
30-11-1936,13.35833333
31-12-1936,7.408333334
31-01-1937,4.175000001
28-02-1937,7.416666668
31-03-1937,11.11666667
30-04-1937,16.20833333
31-05-1937,22.475
30-06-1937,26.85
31-07-1937,25.36666667
31-08-1937,25.8
30-09-1937,23.5
31-10-1937,18.15833333
